   615.00  29.52   8.36  24.46   2.04  20.95   0.00    32   600   0.67
   645.00  25.33   8.57  43.62   2.33  21.77   0.00    63   600   0.67
   675.00  22.99   8.57 459.72   2.76  22.71   0.00   600   600   0.60
   705.00  22.91   8.98 251.00   2.83  22.83   0.00   251   600   0.66
   735.00  22.91   8.90 250.06   2.80  22.82   0.00   251   601   0.02
   765.00  22.91   8.69 248.00   2.75  22.82   0.00   248   601   0.31
   795.00  22.91   7.56 228.00   2.70  22.82   0.00   228   601   0.53
   825.00  23.52   3.67 228.00   2.62  22.73   0.00   228   601   0.72
   855.00  27.09   2.55   9.00   2.29  21.91   0.00     9   601   0.94
   885.00  31.59   2.89   6.04   1.87  20.88   0.00     7   602   0.13
   915.00  34.07   3.55   8.84   1.62  20.18   0.00    11   602   0.53
   945.00  33.45   5.90  14.07   1.61  20.13   0.00    18   602   0.86
   975.00  29.52   8.36  24.45   1.86  20.86   0.00    32   603   0.21
  1005.00  25.33   8.57  43.60   2.14  21.66   0.00    63   603   0.21
  1035.00  22.99   8.56 208.21   2.54  22.51   0.00   251   603   0.14
  1065.00  22.91   8.98 251.00   2.59  22.61   0.00   251   603   0.20
  1095.00  22.91   8.90 251.00   2.59  22.60   0.00   251   603   0.56
  1125.00  22.91   8.69 249.00   2.59  22.60   0.00   249   603   0.85
  1155.00  22.91   7.56 249.00   2.58  22.60   0.00   249   604   0.07
  1185.00  23.51   3.67 177.00   2.51  22.49   0.00   177   604   0.25
  1215.00  27.08   2.54   9.00   2.19  21.69   0.00     9   604   0.47
  1245.00  31.58   2.88   6.12   1.78  20.69   0.00     7   604   0.66
  1275.00  34.07   3.55   8.84   1.53  19.98   0.00    11   605   0.05
  1305.00  33.45   5.90  14.06   1.52  19.92   0.00    18   605   0.39
  1335.00  29.53   8.37  24.44   1.76  20.65   0.00    32   605   0.73
  1365.00  25.33   8.57  43.55   2.04  21.48   0.00    63   605   0.73
  1395.00  22.99   8.57 208.72   2.42  22.32   0.00   254   605   0.66
  1425.00  22.91   8.98 254.00   2.46  22.41   0.00   254   605   0.72
  1455.00  22.91   8.90 255.43   2.45  22.40   0.00   261   606   0.07
  1485.00  22.91   8.69 261.00   2.45  22.41   0.00   261   606   0.36
  1515.00  22.91   7.56 254.00   2.45  22.41   0.00   254   606   0.58
  1545.00  23.51   3.66 211.00   2.37  22.31   0.00   211   606   0.76
  1575.00  27.06   2.53   9.00   2.05  21.52   0.00     9   606   0.98
  1605.00  31.57   2.87   6.03   1.65  20.51   0.00     7   607   0.17
  1635.00  34.06   3.54   8.90   1.42  19.84   0.00    11   607   0.56
  1665.00  33.45   5.90  14.05   1.40  19.76   0.00    18   607   0.89
  1695.00  29.53   8.37  24.43   1.63  20.48   0.00    32   608   0.23
  1725.00  25.34   8.57  43.51   1.90  21.26   0.00    63   608   0.24
  1755.00  22.99   8.56 286.61   2.35  22.21   0.00   356   608   0.16
  1785.00  22.91   8.98 247.00   2.42  22.34   0.00   247   608   0.22
  1815.00  22.91   8.90 247.00   2.38  22.33   0.00   247   608   0.57
  1845.00  22.91   8.68 241.00   2.31  22.33   0.00   241   608   0.86
  1875.00  22.91   7.56 241.00   2.25  22.33   0.00   241   609   0.07
  1905.00  23.51   3.66 184.00   2.17  22.21   0.00   184   609   0.25
  1935.00  27.05   2.53   9.00   1.86  21.43   0.00     9   609   0.48
  1965.00  31.55   2.86   5.94   1.46  20.42   0.00     7   609   0.66
  1995.00  34.05   3.53   8.85   1.24  19.76   0.00    11   610   0.05
  2025.00  33.45   5.90  14.06   1.22  19.70   0.00    18   610   0.38
  2055.00  29.53   8.37  24.42   1.45  20.39   0.00    32   610   0.72
  2085.00  25.34   8.58  43.47   1.72  21.16   0.00    63   610   0.72
  2115.00  22.99   8.57 196.38   2.09  22.00   0.00   242   610   0.64
  2145.00  22.91   8.98 242.00   2.14  22.10   0.00   242   610   0.70
  2175.00  22.91   8.90 242.00   2.10  22.02   0.00   242   611   0.05
  2205.00  22.91   8.68 228.00   2.03  21.96   0.00   228   611   0.33
  2235.00  22.91   7.56 214.00   1.97  21.96   0.00   214   611   0.55
  2265.00  23.50   3.66 121.00   1.90  21.85   0.00   121   611   0.73
  2295.00  27.04   2.52   9.00   1.60  21.08   0.00     9   611   0.95
  2325.00  31.54   2.85   5.89   1.21  20.08   0.00     7   612   0.14
  2355.00  34.04   3.52   8.74   0.99  19.42   0.00    11   612   0.53
  2385.00  33.45   5.90  14.07   0.98  19.39   0.00    18   612   0.85
  2415.00  29.53   8.37  24.40   1.20  20.07   0.00    31   613   0.19
  2445.00  25.34   8.58  43.42   1.46  20.85   0.00    63   613   0.19
  2475.00  22.99   8.57 203.42   1.82  21.69   0.00   260   613   0.11
  2505.00  22.91   8.98 260.00   1.89  21.80   0.00   260   613   0.17
  2535.00  22.91   8.90 260.00   1.85  21.79   0.00   260   613   0.52
  2565.00  22.91   8.68 238.00   1.79  21.79   0.00   238   613   0.80
  2595.00  22.91   7.56 197.00   1.73  21.79   0.00   197   614   0.01
  2625.00  23.50   3.65 117.00   1.66  21.64   0.00   117   614   0.19
  2655.00  27.02   2.51   9.00   1.36  20.88   0.00     9   614   0.41
  2685.00  31.53   2.84   5.84   0.99  19.89   0.00     7   614   0.60
