8.0	2805.0	297.14	34.57	2.07	175.22	352.4	95472.12	0.81	-20.0	-10.0	25.42	-22.0	-11.0
8.0	2835.0	288.32	40.93	1.95	129.87	308.99	95640.54	5.24	-20.0	-10.0	17.19	-22.0	-11.0
8.0	2865.0	283.63	51.26	1.9	100.35	297.8	95789.83	22.12	-20.0	-10.0	29.62	-22.0	-11.0
9.0	2895.0	284.54	54.67	2.05	103.99	308.36	95676.82	46.78	-20.0	-10.0	55.8	-22.0	-11.0
9.0	2925.0	286.91	48.1	2.23	142.55	313.9	95527.41	34.71	-20.0	-10.0	49.74	-22.0	-11.0
9.0	2955.0	289.92	41.14	2.4	198.35	321.9	95294.75	16.12	-20.0	-10.0	41.63	-22.0	-11.0
9.0	2985.0	295.6	33.9	2.55	257.62	344.0	95071.75	0.0	-20.0	-10.0	28.49	-22.0	-11.0
9.0	3015.0	301.32	28.75	2.49	305.36	368.15	94871.79	0.0	-20.0	-10.0	29.03	-22.0	-11.0
9.0	3045.0	307.13	26.51	2.28	304.92	406.87	94948.35	0.0	-20.0	-10.0	26.46	-22.0	-11.0
9.0	3075.0	309.78	31.71	2.15	265.47	443.68	95101.96	0.0	-20.0	-10.0	48.47	-22.0	-11.0
9.0	3105.0	309.64	34.89	2.01	231.3	450.87	95192.04	0.04	-20.0	-10.0	49.26	-22.0	-11.0
9.0	3135.0	304.89	37.34	2.11	201.88	413.27	95278.77	17.41	-20.0	-10.0	55.87	-22.0	-11.0
9.0	3165.0	297.14	34.57	2.07	175.22	352.4	95472.12	0.81	-20.0	-10.0	25.42	-22.0	-11.0
9.0	3195.0	288.32	40.93	1.95	129.87	308.99	95640.54	5.24	-20.0	-10.0	17.19	-22.0	-11.0
9.0	3225.0	283.63	51.26	1.9	100.35	297.8	95789.83	22.12	-20.0	-10.0	29.62	-22.0	-11.0
10.0	3255.0	284.54	54.67	2.05	103.99	308.36	95676.82	46.78	-20.0	-10.0	55.8	-22.0	-11.0
10.0	3285.0	286.91	48.1	2.23	142.55	313.9	95527.41	34.71	-20.0	-10.0	49.74	-22.0	-11.0
10.0	3315.0	289.92	41.14	2.4	198.35	321.9	95294.75	16.12	-20.0	-10.0	41.63	-22.0	-11.0
10.0	3345.0	295.6	33.9	2.55	257.62	344.0	95071.75	0.0	-20.0	-10.0	28.49	-22.0	-11.0
10.0	3375.0	301.32	28.75	2.49	305.36	368.15	94871.79	0.0	-20.0	-10.0	29.03	-22.0	-11.0
10.0	3405.0	307.13	26.51	2.28	304.92	406.87	94948.35	0.0	-20.0	-10.0	26.46	-22.0	-11.0
10.0	3435.0	309.78	31.71	2.15	265.47	443.68	95101.96	0.0	-20.0	-10.0	48.47	-22.0	-11.0
10.0	3465.0	309.64	34.89	2.01	231.3	450.87	95192.04	0.04	-20.0	-10.0	49.26	-22.0	-11.0
10.0	3495.0	304.89	37.34	2.11	201.88	413.27	95278.77	17.41	-20.0	-10.0	55.87	-22.0	-11.0
10.0	3525.0	297.14	34.57	2.07	175.22	352.4	95472.12	0.81	-20.0	-10.0	25.42	-22.0	-11.0
10.0	3555.0	288.32	40.93	1.95	129.87	308.99	95640.54	5.24	-20.0	-10.0	17.19	-22.0	-11.0
10.0	3585.0	283.63	51.26	1.9	100.35	297.8	95789.83	22.12	-20.0	-10.0	29.62	-22.0	-11.0
11.0	3615.0	284.54	54.67	2.05	103.99	308.36	95676.82	46.78	-20.0	-10.0	55.8	-22.0	-11.0
11.0	3645.0	286.91	48.1	2.23	142.55	313.9	95527.41	34.71	-20.0	-10.0	49.74	-22.0	-11.0
11.0	3675.0	289.92	41.14	2.4	198.35	321.9	95294.75	16.12	-20.0	-10.0	41.63	-22.0	-11.0
11.0	3705.0	295.6	33.9	2.55	257.62	344.0	95071.75	0.0	-20.0	-10.0	28.49	-22.0	-11.0
11.0	3735.0	301.32	28.75	2.49	305.36	368.15	94871.79	0.0	-20.0	-10.0	29.03	-22.0	-11.0
11.0	3765.0	307.13	26.51	2.28	304.92	406.87	94948.35	0.0	-20.0	-10.0	26.46	-22.0	-11.0
11.0	3795.0	309.78	31.71	2.15	265.47	443.68	95101.96	0.0	-20.0	-10.0	48.47	-22.0	-11.0
11.0	3825.0	309.64	34.89	2.01	231.3	450.87	95192.04	0.04	-20.0	-10.0	49.26	-22.0	-11.0
11.0	3855.0	304.89	37.34	2.11	201.88	413.27	95278.77	17.41	-20.0	-10.0	55.87	-22.0	-11.0
11.0	3885.0	297.14	34.57	2.07	175.22	352.4	95472.12	0.81	-20.0	-10.0	25.42	-22.0	-11.0
11.0	3915.0	288.32	40.93	1.95	129.87	308.99	95640.54	5.24	-20.0	-10.0	17.19	-22.0	-11.0
11.0	3945.0	283.63	51.26	1.9	100.35	297.8	95789.83	22.12	-20.0	-10.0	29.62	-22.0	-11.0
12.0	3975.0	284.54	54.67	2.05	103.99	308.36	95676.82	46.78	-20.0	-10.0	55.8	-22.0	-11.0
12.0	4005.0	286.91	48.1	2.23	142.55	313.9	95527.41	34.71	-20.0	-10.0	49.74	-22.0	-11.0
12.0	4035.0	289.92	41.14	2.4	198.35	321.9	95294.75	16.12	-20.0	-10.0	41.63	-22.0	-11.0
12.0	4065.0	295.6	33.9	2.55	257.62	344.0	95071.75	0.0	-20.0	-10.0	28.49	-22.0	-11.0
12.0	4095.0	301.32	28.75	2.49	305.36	368.15	94871.79	0.0	-20.0	-10.0	29.03	-22.0	-11.0
12.0	4125.0	307.13	26.51	2.28	304.92	406.87	94948.35	0.0	-20.0	-10.0	26.46	-22.0	-11.0
12.0	4155.0	309.78	31.71	2.15	265.47	443.68	95101.96	0.0	-20.0	-10.0	48.47	-22.0	-11.0
